,lat,lon,ano,mes,pnt
0,-8.238549579800534,321.0,1994,1,-8.238549579800534;321.0
1,-8.238549579800534,321.0,1994,2,-8.238549579800534;321.0
2,-8.238549579800534,321.0,1994,3,-8.238549579800534;321.0
3,-8.238549579800534,321.0,1994,4,-8.238549579800534;321.0
4,-8.238549579800534,321.0,1994,5,-8.238549579800534;321.0
5,-8.238549579800534,321.0,1994,6,-8.238549579800534;321.0
6,-8.238549579800534,321.0,1994,7,-8.238549579800534;321.0
7,-8.238549579800534,321.0,1994,8,-8.238549579800534;321.0
8,-8.238549579800534,321.0,1994,9,-8.238549579800534;321.0
9,-8.238549579800534,321.0,1994,10,-8.238549579800534;321.0
10,-8.238549579800534,321.0,1994,11,-8.238549579800534;321.0
11,-8.238549579800534,321.0,1994,12,-8.238549579800534;321.0
12,-8.238549579800534,321.0,1995,1,-8.238549579800534;321.0
13,-8.238549579800534,321.0,1995,2,-8.238549579800534;321.0
14,-8.238549579800534,321.0,1995,3,-8.238549579800534;321.0
15,-8.238549579800534,321.0,1995,4,-8.238549579800534;321.0
16,-8.238549579800534,321.0,1995,5,-8.238549579800534;321.0
17,-8.238549579800534,321.0,1995,6,-8.238549579800534;321.0
18,-8.238549579800534,321.0,1995,7,-8.238549579800534;321.0
19,-8.238549579800534,321.0,1995,8,-8.238549579800534;321.0
20,-8.238549579800534,321.0,1995,9,-8.238549579800534;321.0
21,-8.238549579800534,321.0,1995,10,-8.238549579800534;321.0
22,-8.238549579800534,321.0,1995,11,-8.238549579800534;321.0
23,-8.238549579800534,321.0,1995,12,-8.238549579800534;321.0
24,-8.238549579800534,321.0,1996,1,-8.238549579800534;321.0
25,-8.238549579800534,321.0,1996,2,-8.238549579800534;321.0
26,-8.238549579800534,321.0,1996,3,-8.238549579800534;321.0
27,-8.238549579800534,321.0,1996,4,-8.238549579800534;321.0
28,-8.238549579800534,321.0,1996,5,-8.238549579800534;321.0
29,-8.238549579800534,321.0,1996,6,-8.238549579800534;321.0
30,-8.238549579800534,321.0,1996,7,-8.238549579800534;321.0
