,lat,lon,ano,mes,pr_local
0,-7.5118,-37.6366,1994,1,174.4
1,-7.5118,-37.6366,1994,2,209.3
2,-7.5118,-37.6366,1994,3,284.9
3,-7.5118,-37.6366,1994,4,97.2
4,-7.5118,-37.6366,1994,5,175.9
5,-7.5118,-37.6366,1994,6,174.4
6,-7.5118,-37.6366,1994,7,55.6
7,-7.5118,-37.6366,1994,8,28.0
8,-7.5118,-37.6366,1994,9,4.5
9,-7.5118,-37.6366,1994,10,20.0
10,-7.5118,-37.6366,1994,11,0.0
11,-7.5118,-37.6366,1994,12,18.0
12,-7.5118,-37.6366,1995,1,102.0
13,-7.5118,-37.6366,1995,2,118.0
14,-7.5118,-37.6366,1995,3,144.5
15,-7.5118,-37.6366,1995,4,196.0
16,-7.5118,-37.6366,1995,5,124.3
17,-7.5118,-37.6366,1995,6,48.6
18,-7.5118,-37.6366,1995,7,42.1
19,-7.5118,-37.6366,1995,8,11.2
20,-7.5118,-37.6366,1995,9,0.0
21,-7.5118,-37.6366,1995,10,0.0
22,-7.5118,-37.6366,1995,11,138.9
23,-7.5118,-37.6366,1995,12,8.1
24,-7.5118,-37.6366,1996,1,23.2
25,-7.5118,-37.6366,1996,2,87.0
26,-7.5118,-37.6366,1996,3,152.2
27,-7.5118,-37.6366,1996,4,114.4
28,-7.5118,-37.6366,1996,5,213.2
29,-7.5118,-37.6366,1996,6,27.9
30,-7.5118,-37.6366,1996,7,67.8
31,-7.5118,-37.6366,1996,8,93.2
32,-7.5118,-37.6366,1996,9,91.2
33,-7.5118,-37.6366,1996,10,0.0
34,-7.5118,-37.6366,1996,11,48.4
35,-7.5118,-37.6366,1996,12,3.0
36,-7.5118,-37.6366,1997,1,130.4
37,-7.5118,-37.6366,1997,2,54.0
38,-7.5118,-37.6366,1997,3,138.6
39,-7.5118,-37.6366,1997,4,74.2
40,-7.5118,-37.6366,1997,5,147.0
41,-7.5118,-37.6366,1997,6,12.0
42,-7.5118,-37.6366,1997,7,41.6
43,-7.5118,-37.6366,1997,8,54.4
44,-7.5118,-37.6366,1997,9,0.0
