,lat,lon,fonte
0,-7.5118,-37.6366,AESA
1,-7.0933,-38.1733,AESA
2,-7.0367,-35.6311,AESA
3,-7.0542,-35.7578,AESA
4,-6.9589,-35.5525,AESA
5,-7.7422,-36.0572,AESA
6,-6.9061,-36.0075,AESA
7,-7.4256,-34.9106,AESA
8,-7.5697,-37.0639,AESA
9,-6.7864,-38.0847,AESA
10,-6.8333,-35.3878,AESA
11,-6.8314,-35.7625,AESA
12,-6.5314,-35.7397,AESA
13,-6.9756,-35.7178,AESA
14,-7.1236,-36.9483,AESA
15,-7.0494,-35.9258,AESA
16,-7.5458,-35.7111,AESA
17,-7.0764,-36.7322,AESA
18,-6.6714,-34.9539,AESA
19,-6.7514,-35.6342,AESA
20,-6.6428,-36.2556,AESA
21,-7.5217,-36.0008,AESA
22,-6.7289,-36.0564,AESA
23,-7.7517,-36.3181,AESA
24,-7.1336,-34.9383,AESA
25,-6.7031,-35.5356,AESA
26,-6.1864,-37.5356,AESA
27,-6.4536,-38.5483,AESA
28,-7.4206,-38.2178,AESA
29,-7.2575,-36.2375,AESA
30,-6.8156,-38.6544,AESA
31,-6.4414,-37.9292,AESA
32,-7.3144,-38.5144,AESA
33,-7.4908,-36.1358,AESA
34,-6.8069,-35.5997,AESA
35,-6.3483,-37.4997,AESA
36,-6.38,-37.8247,AESA
37,-7.5156,-34.9172,AESA
38,-7.4922,-36.2869,AESA
39,-6.9714,-34.8325,AESA
40,-6.9297,-38.6781,AESA
41,-7.1275,-37.1558,AESA
42,-6.6367,-35.7953,AESA
43,-7.2114,-37.0583,AESA
44,-6.6147,-35.4681,AESA
45,-6.7986,-38.5681,AESA
46,-6.8942,-38.5444,AESA
47,-6.980806,-38.455,AESA
48,-6.9614,-37.7992,AESA
49,-7.1025,-35.3244,AESA
50,-7.89,-36.8256,AESA
51,-7.3386,-36.0842,AESA
52,-7.1897,-35.9844,AESA
53,-7.2769,-35.9652,AESA
54,-7.2256,-35.9042,AESA
55,-6.4892,-35.6328,AESA
56,-6.9228,-35.1731,AESA
57,-7.7253,-36.4903,AESA
58,-7.0369,-38.3453,AESA
59,-6.7931,-35.8944,AESA
60,-7.1283,-37.6083,AESA
61,-6.3439,-37.7467,AESA
62,-6.3519,-37.7239,AESA
63,-7.387194,-36.064694,AESA
64,-7.4192,-36.02,AESA
65,-7.56,-38.5019,AESA
66,-6.9231,-37.5947,AESA
67,-7.253167,-34.9297,AESA
68,-7.2533,-34.9217,AESA
69,-7.8022,-36.6586,AESA
70,-7.025,-37.9428,AESA
71,-7.6286,-36.6056,AESA
72,-7.1408,-35.0911,AESA
73,-6.8631,-36.3514,AESA
74,-6.485,-36.1492,AESA
75,-6.915,-35.2517,AESA
76,-6.8975,-35.5247,AESA
77,-6.7181,-35.2664,AESA
78,-7.5383,-38.1992,AESA
79,-6.6303,-35.9069,AESA
80,-7.2903,-37.0881,AESA
81,-7.4228,-38.2661,AESA
82,-6.6056,-35.6283,AESA
83,-6.6897,-35.4197,AESA
84,-7.1058,-37.7153,AESA
85,-6.9936,-35.8331,AESA
86,-7.0311,-35.8692,AESA
87,-7.3586,-35.7844,AESA
88,-6.4039,-36.4539,AESA
89,-7.5831,-35.7953,AESA
90,-6.8453,-35.4964,AESA
91,-7.1261,-35.425,AESA
92,-7.2478,-36.4892,AESA
93,-7.5064,-38.4072,AESA
94,-7.1786,-38.1472,AESA
95,-7.3822,-37.5094,AESA
96,-7.2925,-35.6119,AESA
97,-7.325,-35.3375,AESA
98,-7.3,-38.15,AESA
99,-7.3638,-38.2053,AESA
100,-6.8361,-35.2569,AESA
101,-7.3778,-35.6297,AESA
102,-6.6136,-35.2917,AESA
103,-6.55,-37.8,AESA
104,-7.0833,-34.8333,AESA
105,-7.1558,-34.9089,AESA
106,-7.1972,-34.8131,AESA
107,-7.2171,-34.9496,AESA
108,-6.489194,-38.49,AESA
109,-7.1628,-35.5931,AESA
110,-7.0683,-36.58,AESA
111,-6.995,-36.7131,AESA
112,-7.3717,-35.2408,AESA
113,-7.5478,-37.8067,AESA
114,-6.5894,-37.915,AESA
115,-6.6625,-35.3661,AESA
116,-7.1556,-35.8572,AESA
117,-6.5168,-38.1791,AESA
118,-7.3761,-36.9492,AESA
119,-6.557651,-35.429883,AESA
120,-6.8933,-34.8825,AESA
121,-7.2572,-37.4253,AESA
122,-6.9033,-37.5197,AESA
123,-6.5611,-35.135,AESA
124,-6.8356,-35.1214,AESA
125,-7.7069,-38.1525,AESA
126,-6.771694,-35.016333,AESA
127,-7.0536,-35.32,AESA
128,-6.8428,-38.3447,AESA
129,-7.1808,-35.7344,AESA
130,-6.6014,-35.0536,AESA
131,-7.1214,-35.7717,AESA
132,-6.5433,-37.7164,AESA
133,-7.2661,-37.3514,AESA
134,-7.3075,-35.4764,AESA
135,-7.1053,-35.9419,AESA
136,-7.2031,-38.5653,AESA
137,-7.885,-37.1269,AESA
138,-7.0311,-35.4692,AESA
139,-7.6414,-35.5533,AESA
140,-6.92,-38.3197,AESA
141,-6.4531,-36.2036,AESA
142,-7.4819,-38.0425,AESA
143,-6.6797,-36.4206,AESA
144,-7.2278,-37.7506,AESA
145,-6.9886,-36.2436,AESA
146,-7.6206,-37.1508,AESA
147,-7.3178,-36.6531,AESA
148,-7.1364,-37.0475,AESA
149,-7.0008,-37.3131,AESA
150,-6.59,-37.6233,AESA
151,-7.4167,-38.0667,AESA
152,-6.7553,-36.4644,AESA
153,-7.4014,-35.1175,AESA
154,-6.6411,-35.2942,AESA
155,-7.215,-37.9258,AESA
156,-6.505,-36.3469,AESA
157,-7.2675,-35.2608,AESA
158,-6.8689,-35.6136,AESA
159,-6.8458,-35.5422,AESA
160,-6.7811,-35.4947,AESA
161,-7.4544,-34.8369,AESA
162,-7.0778,-36.0592,AESA
163,-6.4039,-38.4953,AESA
164,-6.5744,-38.5111,AESA
165,-6.7719,-37.8006,AESA
166,-7.695,-37.0842,AESA
167,-7.7331,-37.9944,AESA
168,-7.1472,-35.9594,AESA
169,-7.3606,-35.8897,AESA
170,-7.0294,-37.1281,AESA
171,-6.9669,-35.7914,AESA
172,-6.5403,-35.6603,AESA
173,-7.2472,-35.6631,AESA
174,-7.1493,-35.2634,AESA
175,-7.6942,-36.1561,AESA
176,-6.4353,-37.6531,AESA
177,-6.81,-35.0747,AESA
178,-7.1022,-36.8453,AESA
179,-7.3558,-35.4344,AESA
180,-7.7403,-35.8808,AESA
181,-6.5308,-38.0631,AESA
182,-6.7253,-38.6431,AESA
183,-7.6253,-38.5569,AESA
184,-6.8681,-36.9181,AESA
185,-6.9639,-36.9203,AESA
186,-7.5503,-38.3353,AESA
187,-7.3833,-37.9897,AESA
188,-7.1406,-34.9828,AESA
189,-7.0842,-37.445,AESA
190,-7.2214,-36.6311,AESA
191,-6.8889,-37.7278,AESA
192,-6.5022,-37.4581,AESA
193,-6.815,-37.9413,AESA
194,-7.6331,-36.4311,AESA
195,-6.6178,-38.0947,AESA
196,-7.3825,-36.5286,AESA
197,-6.7253,-38.4518,AESA
198,-8.08,-36.8472,AESA
199,-6.9422,-38.1619,AESA
200,-7.2525,-38.2997,AESA
201,-6.8481,-37.3264,AESA
202,-7.1156,-38.4967,AESA
203,-7.7417,-38.0992,AESA
204,-7.1636,-37.3092,AESA
205,-6.2133,-37.3514,AESA
206,-6.774194,-36.8,AESA
207,-7.3908,-36.8058,AESA
208,-7.2475,-35.3728,AESA
209,-6.9306,-37.1036,AESA
210,-7.245806,-35.205806,AESA
211,-7.0675,-35.8561,AESA
212,-8.1517,-37.0097,AESA
213,-6.8553,-36.4106,AESA
214,-6.9356,-36.3772,AESA
215,-7.0925,-35.2233,AESA
216,-7.4819,-36.66,AESA
217,-6.6853,-35.4436,AESA
218,-7.2142,-38.3722,AESA
219,-7.1861,-35.6797,AESA
220,-6.8192,-35.6386,AESA
221,-6.7533,-35.4333,AESA
222,-7.146111,-35.235917,AESA
223,-6.7594,-35.6478,AESA
224,-7.0608,-36.3619,AESA
225,-7.1768,-36.4863,AESA
226,-6.7664,-36.2467,AESA
227,-6.7694,-38.2194,AESA
228,-6.8358,-38.3117,AESA
229,-7.6736,-36.8964,AESA
230,-7.6736,-36.8965,AESA
231,-7.2163,-36.8281,AESA
232,-7.6344,-37.8769,AESA
233,-7.2217,-37.2497,AESA
234,-6.9408,-36.6294,AESA
235,-6.5767,-38.5972,AESA
236,-6.5231,-38.4092,AESA
237,-7.6958,-35.6642,AESA
238,-6.7722,-36.9925,AESA
239,-6.5436,-38.2772,AESA
240,-6.7386,-37.5683,AESA
241,-8.0747,-37.093,AESA
242,-8.238549579800534,-38.5,CMIP6
243,-8.238549579800534,-38.0,CMIP6
244,-8.238549579800534,-37.5,CMIP6
245,-8.238549579800534,-37.0,CMIP6
246,-8.238549579800534,-36.5,CMIP6
247,-8.238549579800534,-36.0,CMIP6
248,-8.238549579800534,-35.5,CMIP6
249,-8.238549579800534,-35.0,CMIP6
250,-7.73924355078599,-38.5,CMIP6
251,-7.73924355078599,-38.0,CMIP6
252,-7.73924355078599,-37.5,CMIP6
253,-7.73924355078599,-37.0,CMIP6
254,-7.73924355078599,-36.5,CMIP6
255,-7.73924355078599,-36.0,CMIP6
256,-7.73924355078599,-35.5,CMIP6
257,-7.73924355078599,-35.0,CMIP6
258,-7.2399375206127985,-38.5,CMIP6
259,-7.2399375206127985,-38.0,CMIP6
260,-7.2399375206127985,-37.5,CMIP6
261,-7.2399375206127985,-37.0,CMIP6
262,-7.2399375206127985,-36.5,CMIP6
263,-7.2399375206127985,-36.0,CMIP6
264,-7.2399375206127985,-35.5,CMIP6
265,-7.2399375206127985,-35.0,CMIP6
266,-6.740631489359108,-38.5,CMIP6
267,-6.740631489359108,-38.0,CMIP6
268,-6.740631489359108,-37.5,CMIP6
269,-6.740631489359108,-37.0,CMIP6
270,-6.740631489359108,-36.5,CMIP6
271,-6.740631489359108,-36.0,CMIP6
272,-6.740631489359108,-35.5,CMIP6
273,-6.740631489359108,-35.0,CMIP6
274,-6.241325457102246,-38.5,CMIP6
275,-6.241325457102246,-38.0,CMIP6
276,-6.241325457102246,-37.5,CMIP6
277,-6.241325457102246,-37.0,CMIP6
278,-6.241325457102246,-36.5,CMIP6
279,-6.241325457102246,-36.0,CMIP6
280,-6.241325457102246,-35.5,CMIP6
281,-6.241325457102246,-35.0,CMIP6
